Julian Date,Phase,RV (km/s),Error (km/s),SNR
2460192.383,0.219,-0.45,3.23,31
2460192.42,0.268,-1.07,3.31,30
2460193.274,0.372,0,0.75,42
2460193.382,0.513,0.06,0.91,30
2460197.296,0.577,18.08,3.18,22
2460197.426,0.744,39.69,4.43,35
2460199.295,0.164,6.3,4.46,34
2460199.448,0.361,-8.34,4.47,23
2460200.312,0.478,10.78,3.87,27
2460200.45,0.658,34.31,3.61,30
2460202.264,0.005,37.19,3.17,24
2460202.351,0.117,22.5,3.21,21
2460203.308,0.356,-1.02,4.27,42
2460203.552,0.671,33.2,2.17,20
2460204.446,0.828,33.1,7.29,31
2460204.514,0.916,34.02,5.68,33
2460205.382,0.039,32.64,4.51,28
2460207.312,0.537,11.2,4.65,23
